scenario,building,point,label,floor,z_m,PF,PF_raw,LF,ground_frac,roof_frac,avg_floor_crossings,avg_soil_path_m,floor_decks_above,Dg_in,Dr_in,Dg_ref,Dr_ref,Din,Dref,basement_opening_mode,basement_ceiling_mode,roof_model,ground_radius_m,M_floor_kg_m2,M_roof_kg_m2,M_wall_kg_m2,M_foundation_wall_kg_m2,M_basement_ceiling_kg_m2
Kjellervindu 40x60 cm | Flatt tak,Murbygg | stubbloft bevart,5 målepunkter,Kjeller,-1,-1.1,47.029811441469306,47.029811441469306,0.021263108852659224,0.8829647836893673,0.11703521631063274,0.0,11.921624055050621,5,0.03842565013392303,0.005093243081008884,0.5507251446215115,1.4959601974181747,0.043518893214931915,2.046685342039686,exposed_above_grade,same_as_floor,flat,60.0,145.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Flatt tak,Trebygg | full utskifting + mineralull,5 målepunkter,3. etasje,2,7.5,4.738361762214361,4.738361762214361,0.21104340491146326,0.39546275277375353,0.6045372472262465,1.252122933293688,0.0,2,0.47128228464457783,0.720441288154707,2.696155236194249,2.9506621722873647,1.1917235727992848,5.646817408481613,exposed_above_grade,same_as_floor,flat,60.0,62.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | Flatt tak,Trebygg | full utskifting + mineralull,5 målepunkter,4. etasje,3,10.5,3.7140178942983617,3.7140178942983617,0.26925018361789993,0.21742577167209104,0.7825742283279089,1.6950226097836676,0.0,1,0.4144983029799755,1.4918916331914265,3.125342298506251,3.9550240379446473,1.906389936171402,7.080366336450899,exposed_above_grade,same_as_floor,flat,60.0,62.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | Flatt tak,Trebygg | full utskifting + mineralull,5 målepunkter,5. etasje,4,13.5,2.349639048945442,2.349639048945442,0.4255972850165292,0.09905644369099467,0.9009435563090052,2.092333162241398,0.0,0,0.36950135089322333,3.3607087911736384,3.3529218731732007,5.411725537399424,3.730210142066862,8.764647410572625,exposed_above_grade,same_as_floor,flat,60.0,62.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | Flatt tak,Trebygg | referanse lett,5 målepunkter,Kjeller,-1,-1.1,7.3584868109365456,7.3584868109365456,0.1358975052471047,0.13860563438279033,0.8613943656172096,0.0,11.921624055050621,5,0.03855169242047789,0.23958773958853263,0.5507251446215115,1.4959601974181747,0.27813943200901053,2.046685342039686,exposed_above_grade,same_as_floor,flat,60.0,40.375,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | Flatt tak,Trebygg | referanse lett,5 målepunkter,1. etasje,0,1.5,3.086518391604614,3.086518391604614,0.3239896456538274,0.5448467149314441,0.4551532850685558,0.0,0.0,4,0.4486751521182531,0.3748136197186259,0.7436205829470717,1.7980926566073514,0.8234887718368791,2.541713239554423,exposed_above_grade,same_as_floor,flat,60.0,40.375,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | Flatt tak,Trebygg | referanse lett,5 målepunkter,2. etasje,1,4.5,3.4198593168017877,3.4198593168017877,0.2924096892193765,0.5017725424479624,0.49822745755203757,0.7389451382382641,0.0,3,0.6186570025266277,0.6142861145049047,1.9451084870412334,2.2713835188256892,1.2329431170315324,4.216492005866923,exposed_above_grade,same_as_floor,flat,60.0,40.375,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | Flatt tak,Trebygg | referanse lett,5 målepunkter,3. etasje,2,7.5,3.3355428052361478,3.3355428052361478,0.29980127924912137,0.38554950856354114,0.6144504914364589,1.252122933293688,0.0,2,0.6527056625897505,1.0402174201592456,2.696155236194249,2.9506621722873647,1.692923082748996,5.646817408481613,exposed_above_grade,same_as_floor,flat,60.0,40.375,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | Flatt tak,Trebygg | referanse lett,5 målepunkter,4. etasje,3,10.5,2.885644622411322,2.885644622411322,0.34654301927323716,0.25356884440542243,0.7464311555945776,1.6950226097836676,0.0,1,0.6221695824763958,1.831481945317888,3.125342298506251,3.9550240379446473,2.4536515277942836,7.080366336450899,exposed_above_grade,same_as_floor,flat,60.0,40.375,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | Flatt tak,Trebygg | referanse lett,5 målepunkter,5. etasje,4,13.5,2.2218488461292845,2.2218488461292845,0.4500756213646643,0.14805620807536318,0.8519437919246368,2.092333162241398,0.0,0,0.5840453381820312,3.3607087911736384,3.3529218731732007,5.411725537399424,3.94475412935567,8.764647410572625,exposed_above_grade,same_as_floor,flat,60.0,40.375,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Murbygg | stubbloft bevart,5 målepunkter,Kjeller,-1,-1.1,40.61712460299594,40.61712460299594,0.024620157378797795,0.904324915089385,0.09567508491061506,0.0,11.921624055050621,5,0.03842565013392303,0.004065327934645363,0.5507251446215115,1.1751362060926986,0.04249097806856839,1.7258613507142102,exposed_above_grade,same_as_floor,sloped,60.0,145.0,35.0,450.0,650.0,300.0
