facade,combo_id,n_stubb,combo_label,d0,d1,d2,d3,d4,PF_Kjeller,LF_Kjeller,PF_2F,LF_2F,PF_3F,LF_3F,PF_4F,LF_4F,mean_LF_focus,min_PF_focus,mean_PF_focus
Murbygg,10,2,-S-S-,0,1,0,1,0,26.163975586839637,0.03822049125068728,15.493026155165404,0.0645451695482098,13.639195464382993,0.07331810755343829,5.296307659076103,0.18881078373276408,0.09122363802127487,5.296307659076103,15.148126216366034
Murbygg,11,3,-S-SS,0,1,0,1,1,31.141117064873217,0.032111885964681314,21.321592460493132,0.04690081202203373,21.168539848514122,0.04723991390791145,10.951219499813382,0.09131403128364296,0.054391660794567365,10.951219499813382,21.145617218423464
Murbygg,12,2,-SS--,0,1,1,0,0,26.163975586839637,0.03822049125068728,15.493026155165404,0.0645451695482098,8.667807275604973,0.11536943176095302,5.2016774996822255,0.19224567460421965,0.10259519179101743,5.2016774996822255,13.88162162932306
Murbygg,13,3,-SS-S,0,1,1,0,1,31.141117064873217,0.032111885964681314,21.321592460493132,0.04690081202203373,15.947142948271559,0.06270715721579367,10.554209770988821,0.09474892215509852,0.05911719433940181,10.554209770988821,19.741015561156683
Murbygg,14,3,-SSS-,0,1,1,1,0,31.141117064873217,0.032111885964681314,21.321592460493132,0.04690081202203373,15.947142948271559,0.06270715721579367,5.334354816307664,0.1874640953659285,0.0822959876421093,5.334354816307664,18.436051822486395
Murbygg,15,4,-SSSS,0,1,1,1,1,34.73441666682536,0.028789888990854832,26.553925785610303,0.037659214990421665,27.300799764144546,0.036628963570266834,11.115144313250395,0.0899673429168074,0.04826135261708768,11.115144313250395,24.926071632457653
Murbygg,16,1,S----,1,0,0,0,0,20.204366537224768,0.04949425155980951,8.405848023001553,0.11896479656349067,7.580471151406566,0.13191792172633607,5.060742638704227,0.19759945750887742,0.12449410683962842,5.060742638704227,10.312857087584279
Murbygg,17,2,S---S,1,0,0,0,1,26.163975586839637,0.03822049125068728,11.78066217987648,0.08488487189694502,12.61739744190116,0.07925564718117672,9.98974003153112,0.10010270505975627,0.07561592884714133,9.98974003153112,15.137943810037099
Murbygg,18,2,S--S-,1,0,0,1,0,26.163975586839637,0.03822049125068728,11.78066217987648,0.08488487189694502,12.61739744190116,0.07925564718117672,5.272994480655862,0.18964556167629795,0.09800164300127674,5.272994480655862,13.958757422318284
Murbygg,19,3,S--SS,1,0,0,1,1,31.141117064873217,0.032111885964681314,14.871986173186142,0.06724051437076896,18.80496213173512,0.053177453535649885,10.852012178851643,0.09214880922717686,0.061169665774569254,10.852012178851643,18.91751938716153
Murbygg,20,2,S-S--,1,0,1,0,0,26.163975586839637,0.03822049125068728,11.78066217987648,0.08488487189694502,8.505986785722287,0.11756425505839589,5.179188192303804,0.19308045254775352,0.10843751768844542,5.179188192303804,12.90745318618555
Murbygg,21,3,S-S-S,1,0,1,0,1,31.141117064873217,0.032111885964681314,14.871986173186142,0.06724051437076896,15.407850301210038,0.06490198051323656,10.462034834057524,0.09558370009863242,0.06495952023682981,10.462034834057524,17.97074709333173
Murbygg,22,3,S-SS-,1,0,1,1,0,31.141117064873217,0.032111885964681314,14.871986173186142,0.06724051437076896,15.407850301210038,0.06490198051323656,5.32363532485359,0.18784156670752086,0.08802398688905191,5.32363532485359,16.686147216030747
Murbygg,23,4,S-SSS,1,0,1,1,1,34.73441666682536,0.028789888990854832,17.241701153701857,0.05799891733915689,25.757404948864323,0.038823786867709716,11.068703922948467,0.09034481425839976,0.0539893518640303,11.068703922948467,22.200556673085003
Murbygg,24,2,SS---,1,1,0,0,0,26.163975586839637,0.03822049125068728,10.139407297523155,0.09862509421475545,7.9377438244103535,0.12598038209859763,5.11000617690915,0.19569447968942816,0.11463011181336713,5.11000617690915,12.337783221420574
Murbygg,25,3,SS--S,1,1,0,0,1,31.141117064873217,0.032111885964681314,15.493026155165404,0.0645451695482098,13.639195464382993,0.07331810755343829,10.183535078697135,0.09819772724030705,0.06704322257665911,10.183535078697135,17.614218440779688
Murbygg,26,3,SS-S-,1,1,0,1,0,31.141117064873217,0.032111885964681314,15.493026155165404,0.0645451695482098,13.639195464382993,0.07331810755343829,5.296307659076103,0.18881078373276408,0.08969648669977337,5.296307659076103,16.39241158587443
Murbygg,27,4,SS-SS,1,1,0,1,1,34.73441666682536,0.028789888990854832,21.321592460493132,0.04690081202203373,21.168539848514122,0.04723991390791145,10.951219499813382,0.09131403128364296,0.05356116155111074,10.951219499813382,22.0439421189115
Murbygg,28,3,SSS--,1,1,1,0,0,31.141117064873217,0.032111885964681314,15.493026155165404,0.0645451695482098,8.667807275604973,0.11536943176095302,5.2016774996822255,0.19224567460421965,0.10106804046951595,5.2016774996822255,15.125906998831455
Murbygg,29,4,SSS-S,1,1,1,0,1,34.73441666682536,0.028789888990854832,21.321592460493132,0.04690081202203373,15.947142948271559,0.06270715721579367,10.554209770988821,0.09474892215509852,0.05828669509594518,10.554209770988821,20.639340461644718
Murbygg,30,4,SSSS-,1,1,1,1,0,34.73441666682536,0.028789888990854832,21.321592460493132,0.04690081202203373,15.947142948271559,0.06270715721579367,5.334354816307664,0.1874640953659285,0.08146548839865268,5.334354816307664,19.33437672297443
Murbygg,31,5,SSSSS,1,1,1,1,1,37.06750971541429,0.026977803679758834,26.553925785610303,0.037659214990421665,27.300799764144546,0.036628963570266834,11.115144313250395,0.0899673429168074,0.04780833128931368,11.115144313250395,25.509344894604883
Trebygg,0,0,-----,0,0,0,0,0,14.189766675910334,0.07047332227792574,4.643376055772181,0.21536054542834196,4.842357597433706,0.20651097732434465,3.929756905523845,0.2544686666481467,0.18670337791968977,3.929756905523845,6.901314308660016
Trebygg,1,1,----S,0,0,0,0,1,20.17124019499319,0.04957553379629158,5.516309442221104,0.1812806207617963,6.499892309363648,0.15384870277918528,6.370566385092903,0.15697191419902562,0.1354191928840747,5.516309442221104,9.63950208291771
Trebygg,2,1,---S-,0,0,0,1,0,20.17124019499319,0.04957553379629158,5.516309442221104,0.1812806207617963,6.499892309363648,0.15384870277918528,4.651865650301946,0.21496751522372348,0.14991809314024918,4.651865650301946,9.209826899219973
Trebygg,3,2,---SS,0,0,0,1,1,26.10845161869563,0.03830177348716935,6.111114860647347,0.16363626323562025,7.826532169124551,0.12777050913365842,8.512756505367681,0.11747076277460237,0.11179482715776261,6.111114860647347,12.139713788458801
Trebygg,4,1,--S--,0,0,1,0,0,20.17124019499319,0.04957553379629158,5.516309442221104,0.1812806207617963,6.262817155668399,0.15967255232653763,4.167937033249049,0.23992684918765816,0.1576138890180709,4.167937033249049,9.029575956532934
Trebygg,5,2,--S-S,0,0,1,0,1,26.10845161869563,0.03830177348716935,6.111114860647347,0.16363626323562025,9.344896777513254,0.10701027778137827,7.020987999718404,0.14243009673853704,0.11284460281067624,6.111114860647347,12.146362814143657
Trebygg,6,2,--SS-,0,0,1,1,0,26.10845161869563,0.03830177348716935,6.111114860647347,0.16363626323562025,9.344896777513254,0.10701027778137827,4.778689881446938,0.20926237625974808,0.12955267269097898,4.778689881446938,11.585788284575791
Trebygg,7,3,--SSS,0,0,1,1,1,31.062491077341758,0.032193168201163386,6.4769076846130025,0.15439466620400819,12.356039149089677,0.08093208413585144,8.94729493653949,0.11176562381062695,0.09482138558791249,6.4769076846130025,14.710683211895981
Trebygg,8,1,-S---,0,1,0,0,0,20.17124019499319,0.04957553379629158,5.973254734205221,0.16741291716115908,5.18710454311388,0.1927857809088398,3.996329706893921,0.25022960399762234,0.16500095896597822,3.996329706893921,8.831982294801552
Trebygg,9,2,-S--S,0,1,0,0,1,26.10845161869563,0.03830177348716935,7.500019172227003,0.13333299249461344,7.136561351844651,0.14012350636368046,6.54737988495189,0.15273285154850122,0.11612278097349113,6.54737988495189,11.823103006929792
Trebygg,10,2,-S-S-,0,1,0,1,0,26.10845161869563,0.03830177348716935,7.500019172227003,0.13333299249461344,7.136561351844651,0.14012350636368046,4.692500118712376,0.21310601485384734,0.13121607179982764,4.692500118712376,11.359383065369913
Trebygg,11,3,-S-SS,0,1,0,1,1,31.062491077341758,0.032193168201163386,8.64389142695671,0.11568863496843737,8.768444543366323,0.11404531271815362,8.649825967223876,0.11560926240472624,0.09438409457312015,8.64389142695671,14.281163253722166
Trebygg,12,2,-SS--,0,1,1,0,0,26.10845161869563,0.03830177348716935,7.500019172227003,0.13333299249461344,6.469219732514003,0.15457814718737187,4.200527313050549,0.2380653488177821,0.1410695654967342,4.200527313050549,11.069554459121797
Trebygg,13,3,-SS-S,0,1,1,0,1,31.062491077341758,0.032193168201163386,8.64389142695671,0.11568863496843737,9.812014302331647,0.10191587264221252,7.113964468830286,0.14056859636866095,0.09759156804511857,7.113964468830286,14.1580903188651
Trebygg,14,3,-SSS-,0,1,1,1,0,31.062491077341758,0.032193168201163386,8.64389142695671,0.11568863496843737,9.812014302331647,0.10191587264221252,4.798007970115848,0.2084198288599039,0.1145543761679293,4.798007970115848,13.57910119418649
