scenario,building,point,label,floor,z_m,PF,PF_raw,LF,ground_frac,roof_frac,avg_floor_crossings,avg_soil_path_m,floor_decks_above,kjellerdekke_mode,base_scenario
Luftespalte 15x15 cm | kjellerdekke:same_as_floor,Lett bjelkelag + murvegg | dekke 26.4 | lett tak 35,5 målepunkter,4. etasje,3,10.5,3.0523824876795755,3.0523824876795755,0.327612939740131,0.09566658131288891,0.9043334186871111,1.6950226097836676,0.0,1,same_as_floor,Luftespalte 15x15 cm
Luftespalte 15x15 cm | kjellerdekke:same_as_floor,Lett bjelkelag + murvegg | dekke 26.4 | lett tak 35,5 målepunkter,5. etasje,4,13.5,2.4758016919395693,2.4758016919395693,0.40390957129389043,0.05068074943127985,0.9493192505687202,2.092333162241398,0.0,0,same_as_floor,Luftespalte 15x15 cm
Luftespalte 15x15 cm | kjellerdekke:same_as_floor,Lett bjelkelag + trevegg | dekke 26.4 | lett tak 35,5 målepunkter,Kjeller,-1,-1.1,4.9630859811481045,4.9630859811481045,0.2014875429920864,0.010743384056288753,0.9892566159437112,0.0,12.291170544970132,5,same_as_floor,Luftespalte 15x15 cm
Luftespalte 15x15 cm | kjellerdekke:same_as_floor,Lett bjelkelag + trevegg | dekke 26.4 | lett tak 35,5 målepunkter,1. etasje,0,1.5,2.3958195600887757,2.3958195600887757,0.4173937038743208,0.4528349357346313,0.5471650642653686,0.0,0.0,4,same_as_floor,Luftespalte 15x15 cm
Luftespalte 15x15 cm | kjellerdekke:same_as_floor,Lett bjelkelag + trevegg | dekke 26.4 | lett tak 35,5 målepunkter,2. etasje,1,4.5,2.5616081189287914,2.5616081189287914,0.3903797745683981,0.4746181585712337,0.5253818414287664,0.7389451382382641,0.0,3,same_as_floor,Luftespalte 15x15 cm
Luftespalte 15x15 cm | kjellerdekke:same_as_floor,Lett bjelkelag + trevegg | dekke 26.4 | lett tak 35,5 målepunkter,3. etasje,2,7.5,2.55954166844483,2.55954166844483,0.39069494836846985,0.3988033525904171,0.6011966474095829,1.252122933293688,0.0,2,same_as_floor,Luftespalte 15x15 cm
Luftespalte 15x15 cm | kjellerdekke:same_as_floor,Lett bjelkelag + trevegg | dekke 26.4 | lett tak 35,5 målepunkter,4. etasje,3,10.5,2.3840250606793263,2.3840250606793263,0.41945867788615054,0.2936817249928462,0.7063182750071538,1.6950226097836676,0.0,1,same_as_floor,Luftespalte 15x15 cm
Luftespalte 15x15 cm | kjellerdekke:same_as_floor,Lett bjelkelag + trevegg | dekke 26.4 | lett tak 35,5 målepunkter,5. etasje,4,13.5,2.0871712745462423,2.0871712745462423,0.47911736434634633,0.19969685915815177,0.8003031408418482,2.092333162241398,0.0,0,same_as_floor,Luftespalte 15x15 cm
Kjellervindu 40x60 cm | kjellerdekke:heavy_basement_ceiling,Murbygg | dekke 180 | lett tak 35,5 målepunkter,Kjeller,-1,-1.1,52.43221716082401,52.43221716082401,0.019072243253279282,0.9843926621176886,0.015607337882311431,0.0,11.921624055050621,5,heavy_basement_ceiling,Kjellervindu 40x60 cm
Kjellervindu 40x60 cm | kjellerdekke:heavy_basement_ceiling,Murbygg | dekke 180 | lett tak 35,5 målepunkter,1. etasje,0,1.5,12.894709811066427,12.894709811066427,0.0775511829775173,0.9705915596262833,0.02940844037371674,0.0,0.0,4,heavy_basement_ceiling,Kjellervindu 40x60 cm
Kjellervindu 40x60 cm | kjellerdekke:heavy_basement_ceiling,Murbygg | dekke 180 | lett tak 35,5 målepunkter,2. etasje,1,4.5,38.433141892891385,38.433141892891385,0.026019210263550183,0.7778138783940084,0.2221861216059916,0.7389451382382641,0.0,3,heavy_basement_ceiling,Kjellervindu 40x60 cm
Kjellervindu 40x60 cm | kjellerdekke:heavy_basement_ceiling,Murbygg | dekke 180 | lett tak 35,5 målepunkter,3. etasje,2,7.5,39.77791772382024,39.77791772382024,0.02513957635849725,0.241769160316726,0.758230839683274,1.252122933293688,0.0,2,heavy_basement_ceiling,Kjellervindu 40x60 cm
Kjellervindu 40x60 cm | kjellerdekke:heavy_basement_ceiling,Murbygg | dekke 180 | lett tak 35,5 målepunkter,4. etasje,3,10.5,13.147204908474391,13.147204908474391,0.07606179465229318,0.033738593092895654,0.9662614069071044,1.6950226097836676,0.0,1,heavy_basement_ceiling,Kjellervindu 40x60 cm
