scenario,building,point,label,floor,z_m,PF,PF_raw,LF,ground_frac,roof_frac,avg_floor_crossings,diag_avg_soil_path_m,floor_decks_above,Dg_in,Dr_in,Dg_ref,Dr_ref,Din,Dref,basement_opening_mode,basement_ceiling_mode,roof_model,ground_radius_m,M_floor_kg_m2,M_roof_kg_m2,M_wall_kg_m2,M_foundation_wall_kg_m2,M_basement_ceiling_kg_m2
Kjellervindu 40x60 cm,Trebygg | referanse lett,5 målepunkter i rommet,1. etasje,0,1.5,2.790894974770125,2.790894974770125,0.35830800121110473,0.6422851528460256,0.3577148471539744,0.0,0.0,4,0.4486751521182531,0.24988552631270786,0.7436205829470717,1.2059889040579064,0.6985606784309609,1.949609487004978,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm,Trebygg | referanse lett,5 målepunkter i rommet,2. etasje,1,4.5,3.3607363370389636,3.3607363370389636,0.2975538393116158,0.5980719272545878,0.4019280727454123,0.7389451382382641,0.0,3,0.6186570025266277,0.4157620603552141,1.9451084870412334,1.5313012453115646,1.0344190628818417,3.4764097323527983,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm,Trebygg | referanse lett,5 målepunkter i rommet,3. etasje,2,7.5,3.42384938520635,3.42384938520635,0.29206892228401327,0.47566335747408134,0.5243366425259186,1.252122933293688,0.0,2,0.6527056625897505,0.7194951856231918,2.696155236194249,2.0020537943392656,1.3722008482129424,4.698209030533515,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm,Trebygg | referanse lett,5 målepunkter i rommet,4. etasje,3,10.5,3.0095214776196397,3.0095214776196397,0.33227873847603945,0.32126197284629,0.67873802715371,1.6950226097836676,0.0,1,0.6221695824763958,1.3144728933328313,3.125342298506251,2.703024826912091,1.936642475809227,5.8283671254183425,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm,Trebygg | referanse lett,5 målepunkter i rommet,5. etasje,4,13.5,2.170203747616982,2.170203747616982,0.4607862285271887,0.17908661644485388,0.8209133835551462,2.092333162241398,0.0,0,0.5840453381820312,2.6771996938378586,3.3529218731732007,3.7246443172136283,3.2612450320198896,7.077566190386829,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,80.0,350.0,300.0
Kjellervindu 60x30 cm,Murbygg | stubbloft bevart,5 målepunkter i rommet,Kjeller,-1,-1.1,52.99330628017029,52.99330628017029,0.01887030778402654,0.9850396111988106,0.01496038880118941,0.0,12.023567914338765,5,0.028823937491138495,0.00043776646821726576,0.5507251446215115,0.9999492955763,0.02926170395935576,1.5506744401978114,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,450.0,650.0,300.0
Kjellervindu 60x30 cm,Murbygg | stubbloft bevart,5 målepunkter i rommet,1. etasje,0,1.5,10.08216738594147,10.08216738594147,0.09918502259686697,0.9893677786936528,0.0106322213063471,0.0,0.0,4,0.191316086476387,0.002055974547267956,0.7436205829470717,1.2059889040579064,0.19337206102365498,1.949609487004978,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,450.0,650.0,300.0
Kjellervindu 60x30 cm,Murbygg | stubbloft bevart,5 målepunkter i rommet,2. etasje,1,4.5,37.801577386569015,37.801577386569015,0.026453922538039437,0.8899341347957429,0.11006586520425707,0.7389451382382641,0.0,3,0.08184250238340882,0.010122171386738512,1.9451084870412334,1.5313012453115646,0.09196467377014733,3.4764097323527983,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,450.0,650.0,300.0
Kjellervindu 60x30 cm,Murbygg | stubbloft bevart,5 målepunkter i rommet,3. etasje,2,7.5,56.099386595415965,56.099386595415965,0.017825506849333584,0.37177240271873846,0.6282275972812615,1.252122933293688,0.0,2,0.03113517929087382,0.052612777962502244,2.696155236194249,2.0020537943392656,0.08374795725337607,4.698209030533515,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,450.0,650.0,300.0
Kjellervindu 60x30 cm,Murbygg | stubbloft bevart,5 målepunkter i rommet,4. etasje,3,10.5,18.183546355764907,18.183546355764907,0.05499477277065704,0.05041769754103176,0.9495823024589684,1.6950226097836676,0.0,1,0.016160370762564238,0.3043693549237851,3.125342298506251,2.703024826912091,0.3205297256863493,5.8283671254183425,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,450.0,650.0,300.0
